key|artist|title|labelinfo|img|audio|audio-title|body
w8review0|"WAX POETICS"|#23|" magazine 7.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpo23mag.jpg|noaudio|"No Audio"|"Funklord Rick James sure looks badass on the cover to this, the latest issue of the best hiphop/funk/soul/jazz magazine know, Wax Poetics. The feature is about his 1981 album Street Songs. Also inside: DJ Shadow, Chico Hamilton, Arthur Russell, Bunny Lee, DJ Spinna, Black Milk, and much more... If you haven't checked out Wax Poetics yet, you should. If you have, you'll what know to expect: porn for diggers. Vintage photos and album cover graphics all over, in gorgeous full-color. And you can read it for the articles too.
		
"
w8review1|"WAX POETICS"|"#24 Aug/Sept 2007"|" magazine 7.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpo24mag.jpg|noaudio|"No Audio"|"What supercool, snazzy, 138 page magazine has Mandrill on the cover this month? Wax Poetics of course. Featuring in-depth articles and tons of cool photos (lots of rare record covers to drool over especially) all about the best of '60s, '70s, '80s and on up to today in the realm of hiphop, jazz, funk and soul, Wax Poetics is pretty much a must if you're into that sort of stuff. This issue will also hip you to  Brazilian legend Marcos Valle, DJ Andy Smith, old school rap MC Eddie Cheba, producer Kenton Nix, jazz cat Joe Sample, ""boogie king"" Leroy Burgess, Winstons drummer G.C. Coleman, and LOTS more. Especially rad: a feature (full color illustrated of course) all about James Brown playbills/programs.
		
"
w8review2|"WAX POETICS"|"#25 Oct/Nov"|" magazine 7.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpo25mag.jpg|noaudio|"No Audio"|"One thing we love about this magazine of hiphop, jazz, funk and soul is the photography, and guess what, this is The Photo Issue! With Miles Davis staring out at you from the cover, and an article inside about his improvisational funk years... Also featured: Sharon Jones and the Dap-Kings, East Bay funk, Peruvian funk, The Dragons, the Beastie Boys's Check Your Head album, and much more. Being the photo issue, many of the 186 pages of here are eyeball-pleasin' photo-essays, taking you into the early days of hiphop and other cool places.
		
"
w8review3|"WAX POETICS"|#26|" magazine 7.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpoe26mag.jpg|noaudio|"No Audio"|"Bobby Byrd, Devin the Dude, Barrington Levy, the Osaka Monaurail, a look back at Kurtis Blow's 1979 single ""Christmas Rappin'"" (not just a novelty, but a historical milestone)... All that and more is to be found in the 138 colorful pages of this new issue of the wonderful Wax Poetics, essential reading material for all fans of cool old (and new) hiphop, jazz, funk and soul!
		
"
w8review4|"WAX POETICS"|#27|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpoe27mag.jpg|noaudio|"No Audio"|"As always, a must read for those with any interest in vintage grooves and DJ/hiphop/funk/soul/jazz culture. Grandmaster Flash on the cover, also with features on Eddie Harris, Newcleus, Mighty Hannibal,  Camp Lo, S.O.U.L., Chuck Brown, the avant-jazz of communist Cuba, and much much more. As usual, packed with amazing color photography and record cover graphics.
		
"
w8review5|"WAX POETICS"|#28|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpoe28mag.jpg|noaudio|"No Audio"|"Al Green on the front, Q-Tip on the flip. It's another as always awesome issue of Wax Poetics, our favorite magazine covering hiphop, jazz, funk and soul.128 pages, lots of the usual beautiful photography and vintage album art. And text too: features on Estonian Rare Groove, the Afrobeat of Orlando Julius, King Britt on soundtracks, afro-jazz trombonist Phil Ranelin, Headhunters drummer Mike Clark, the two cover stars, and of course much more. Dig!
		
"
w8review6|"WAX POETICS"|#30|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpoe30mag.jpg|noaudio|"No Audio"|"Without a doubt, one of the most passionate and well written music magazines around. Now on their 30th issue, Wax Poetics has been a shining light for all of us who love and need plenty of soul, funk, psych and free minded jazz in our lives. This issue is ""The Rock Issue"" and there are some great articles on AQ favorites like Rodriguez, Black Merda and cover stars Bad Brains. Also a Turkish psych primer, memorial pieces on Bo Didley, Jimmy McGriff, Ike Turner and Buddy Miles, and more. There are really insightful features on the last great Elvis Presley record In Memphis, a great feature on Dave Bartholomew, interviews with The Rascals, Don Letts and Ernie Isley... Wax Poetics is really one of the only music magazines we devour and read cover to cover every issue. Informative and so well written, with such obvious love for the music they cover. Filled with tons of amazing photos as well, each issue always so cohesive and such an obvious labor of love. 
		
"
w8review7|"WAX POETICS"|#31|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpoe31mag.jpg|noaudio|"No Audio"|"Another awesome issue of one of the best music magazines around. This time out, AQ favorite Shuggie Otis is on the cover and there's a really interesting interview with him inside. Also featured are MF Doom, Slick Rick, Larry Coryell, Mickey Dread, Os Mutantes, and Patrick Adams. Nice memorial pieces on Isaac Hayes, Roy Shirley and Jerry Wexler. We could go on and on as we really do read Wax Poetics cover to cover and it's one of the few music magazines we always keep around as they lend themselves to repeated reads and second looks. 
		
"
w8review8|"WAX POETICS"|"Issue #32"|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpo32mag.jpg|noaudio|"No Audio"|"Sly Stone makes the cover (did he really have to wait 'til issue 32?), and inside there's the usual profusely and colorfully photo-illustrated, deep-digging stuff about the likes of Jean Grae, Egyptian Lover and Arabian Prince, Jimmy Cliff, Large Professor, Houston rappers HSID, and even South Korean B-boys! Among other things. In case you didn't know already, or figure it out from that run-down, Wax Poetics is THE magazine of cool hiphop/soul/funk/reggae/jazz hipness old and new, for vinyl fetishists and general groove-hounds, and as usual this issue is a must-read if you're at all into that stuff, and why the heck wouldn't you be?! 
		
"
w8review9|"WAX POETICS"|"Issue #33"|" magazine 9.99"|https://web.archive.org/web/20160303231438im_/http://www.aquariusrecords.org/images/waxpo33mag.jpg|noaudio|"No Audio"|"Yo, it's the ""Philly Issue"". Soul masters Gamble & Huff on the cover. ?uestlove from the Roots. Radio DJ Sonny Hopson. Vibraphonist Vincent Montana Jr., and the whole Philly jazz scene back in the day. The Stylistics. And plenty more!! (But wait, where's Schooly D?)As usual, this magazine of all things groovy (jazz, funk, hiphop, soul, disco...) and worth diggin' delves deep with extensive interviews and colorful pictures. 
		
"
